,q,p,ln(p)
0,23.652725203484792,4.769999999999999,1.5623463049002497
1,25.388513723296327,4.669999999999999,1.541159071680806
2,23.996953245388923,4.75,1.55814461804655
3,24.169611166922778,4.739999999999999,1.556037135706985
4,26.093259173974886,4.63,1.5325568680981427
5,27.341342232387035,4.56,1.5173226235262947
6,26.804119629041963,4.589999999999999,1.5238800240724537
7,23.996953245388923,4.75,1.55814461804655
8,23.996953245388923,4.75,1.55814461804655
9,28.60873341727313,4.49,1.501852701754163
10,30.081602811223178,4.41,1.4838746894587547
11,31.7708616985214,4.319999999999999,1.463255402256019
12,25.21327054750452,4.679999999999999,1.5432981099295553
13,25.564132554629083,4.66,1.5390154481375546
14,29.896039530430002,4.42,1.4861396960896067
15,24.689778967981923,4.709999999999999,1.5496879080283263
16,25.564132554629083,4.66,1.5390154481375546
17,29.157961083934836,4.459999999999999,1.4951487660319727
18,31.015776598145578,4.36,1.472472057360943
19,28.974475781157366,4.47,1.4973884086254774
20,29.710895602041163,4.43,1.4883995840570443
21,30.267587348406806,4.4,1.4816045409242156
22,26.447918400765445,4.61,1.5282278570085572
23,36.25307696208907,4.09,1.4085449700547104
24,43.80148536623561,3.7299999999999995,1.3164082336557241
25,40.36051122385746,3.8899999999999997,1.358409157630355
26,31.203896436129384,4.35,1.4701758451005926
27,41.420372750926305,3.84,1.3454723665996355
28,42.06293411109483,3.8099999999999996,1.3376291891386096
29,42.49412538774929,3.7899999999999996,1.332366019094335
