,q,ln(q),p,ln(p)
0,23.934591817999703,3.175324768928414,4.769999999999999,1.5623463049002497
1,25.26926012799701,3.229588642300996,4.669999999999999,1.541159071680806
2,24.19354729956503,3.186085957093897,4.75,1.55814461804655
3,24.32448739046372,3.191483554487791,4.739999999999999,1.556037135706985
4,25.832160678214922,3.251620253559536,4.63,1.5325568680981427
5,26.859983488983644,3.2906375763884115,4.56,1.5173226235262947
6,26.41264917609437,3.273843030861649,4.589999999999999,1.5238800240724537
7,24.19354729956503,3.186085957093897,4.75,1.55814461804655
8,24.19354729956503,3.186085957093897,4.75,1.55814461804655
9,27.94556486587071,3.330258506003531,4.49,1.501852701754163
10,29.262389430591277,3.376303054273924,4.41,1.4838746894587547
11,30.849246566873234,3.4291123275855213,4.319999999999999,1.463255402256019
12,25.1312030936301,3.224110225205803,4.679999999999999,1.5432981099295553
13,25.408373957691268,3.235078803064541,4.66,1.5390154481375546
14,29.093128495590804,3.3705020121212463,4.42,1.4861396960896067
15,24.72327076156885,3.207744936198181,4.709999999999999,1.5496879080283263
16,25.408373957691268,3.235078803064541,4.66,1.5390154481375546
17,28.429528798107015,3.347428351417467,4.459999999999999,1.4951487660319727
18,30.12956779213589,3.405507008271181,4.36,1.472472057360943
19,28.26692153331005,3.3416922705977097,4.47,1.4973884086254774
20,28.92522580677999,3.364714079679519,4.43,1.4883995840570443
21,29.433022716699078,3.3821172656595873,4.4,1.4816045409242156
22,26.120162856916217,3.262707539339644,4.61,1.5282278570085572
23,35.489413624835585,3.569234444257487,4.09,1.4085449700547104
24,44.93474280314275,3.8052112773405957,3.7299999999999995,1.3164082336557241
25,40.351970642434004,3.6976402322454187,3.8899999999999997,1.358409157630355
26,30.307280767387446,3.411387973003182,4.35,1.4701758451005926
27,41.71135572282908,3.7307734112248374,3.84,1.3454723665996355
28,42.55770994442738,3.750861035888978,3.8099999999999996,1.3376291891386096
29,43.13526393391763,3.7643408512977587,3.7899999999999996,1.332366019094335
