,q,ln(q),p
0,23.712587433256505,3.1660060224765387,4.77
1,25.190221197024858,3.2264558714702627,4.67
2,24.001011907587934,3.178095992275283,4.75
3,24.146537067690424,3.1841409771746556,4.74
4,25.806742914804637,3.2506358110677525,4.63
5,26.922186008548902,3.292950705363359,4.56
6,26.43835378267646,3.2748157506652418,4.59
7,24.001011907587934,3.178095992275283,4.75
8,24.001011907587934,3.178095992275283,4.75
9,28.08584182326649,3.3352655996589657,4.49
10,29.4774474824981,3.3836254788539453,4.41
11,31.125591012197702,3.438030342948297,4.32
12,25.03840601282525,3.2204108865708903,4.68
13,25.34295688112137,3.2325008563696347,4.66
14,29.299794254116826,3.377580493954573,4.42
15,24.588428150342747,3.202275931872773,4.71
16,25.34295688112137,3.2325008563696347,4.66
17,28.599823725337725,3.353400554357083,4.46
18,30.382002295826123,3.413850403350807,4.36
19,28.427459716582966,3.347355569457711,4.47
20,29.123211697460878,3.3715355090552004,4.43
21,29.656177874400733,3.3896704637533173,4.4
22,26.12063933291419,3.262725780866497,4.61
23,35.768406208830264,3.5770649956338625,4.09
24,44.464203601616624,3.794684452011269,3.73
25,40.36506542260891,3.6979646936213104,3.89
26,30.56621726831805,3.41989538825018,4.35
27,41.60372132183494,3.7281896181181726,3.84
28,42.36508571150846,3.74632457281629,3.81
29,42.88038703030131,3.7584145426150344,3.79
